shopify_product_id,handle,status,sku,title
"gid://shopify/Product/15427289121100","smartphone-motorola-edge-50-peach-fuzz-ram-12-gb-almacenamiento-512-gb","ACTIVE","PB2U0002SE","Smartphone - MOTOROLA EDGE 50, Peach Fuzz, RAM 12 GB, Almacenamiento 512 GB"
"gid://shopify/Product/15427289416012","smartphone-xiaomi-poco-x7-pro-negro-5g-ram-12-gb-almacenamiento-256-gb","ACTIVE","6932554409302","Smartphone - XIAOMI Poco X7 Pro Negro, 5G, RAM 12 GB, Almacenamiento 256 GB"
"gid://shopify/Product/15427289579852","smartphone-xiaomi-poco-f7-ultra-5g-negro-ram-16-gb-almacenamiento-512-gb","ACTIVE","6932554411299","Smartphone - XIAOMI Poco F7 Ultra, 5G, Negro, RAM 16 GB, Almacenamiento 512 GB"
"gid://shopify/Product/15427289645388","smartphone-xiaomi-redmi-note14-pro-5g-negro-medianoche-ram-8-gb-256-gb","ACTIVE","MZB0I8BEU","Smartphone - XIAOMI REDMI Note14 Pro, 5G, Negro Medianoche, RAM 8 GB, 256 GB"
"gid://shopify/Product/15427289874764","smartphone-xiaomi-redmi-note14-pro-4g-negro-medianoche-ram-8-gb-almacenamiento-256-gb","ACTIVE","MZB0IDSEU","Smartphone - XIAOMI REDMI Note14 Pro, 4G, Negro Medianoche, RAM 8 GB, Almacenamiento 256 GB"
"gid://shopify/Product/15427290169676","smartphone-xiaomi-redmi-note14-5g-ram-8-gb-almacenamiento-256-gb","ACTIVE","MZB0IOEEU","Smartphone - XIAOMI REDMI Note14, 5G, RAM 8 GB, Almacenamiento 256 GB"
"gid://shopify/Product/15427290267980","smartphone-xiaomi-redmi-note14-pro-4g-purple-ram-8-gb-256-gb","ACTIVE","MZB0IVXEU","Smartphone - XIAOMI REDMI Note14 Pro, 4G, Purple, RAM 8 GB, 256 GB"
"gid://shopify/Product/15427290399052","smartphone-xiaomi-redmi-note14-pro-4g-ram-8-gb-almacenamiento-256-gb-negro","ACTIVE","MZB0IWDEU","Smartphone - XIAOMI REDMI Note14 Pro, 4G, RAM 8 GB, Almacenamiento 256 GB, Negro"
"gid://shopify/Product/15427291709772","smartphone-samsung-galaxy-a05s-67-4128gb-negro","ACTIVE","SM-A057GZKVEUB","Smartphone - Samsung Galaxy A05S, 6.7"", 4+128GB, Negro"
"gid://shopify/Product/15427294036300","smartphone-samsung-galaxy-s24-62-8256gb-onyx-black","ACTIVE","SM-S921BZKGEUB","Smartphone - Samsung Galaxy S24, 6.2"", 8+256GB, Onyx Black"
"gid://shopify/Product/15427294331212","tablet-samsung-galaxy-tab-a9-5g-grafito-ram-6-gb-almacenamiento-128-gb","ACTIVE","SM-X216RZAREUB","Tablet - SAMSUNG Galaxy Tab A9+, 5G, Grafito, RAM 6 GB, Almacenamiento 128 GB"
"gid://shopify/Product/15427294691660","smartphone-xiaomi-redmi-note14-pro-lavanda-5g-ram-8-gb-256-gb","ACTIVE","6932554402662","Smartphone XIAOMI REDMI Note14 Pro, Lavanda, 5G, RAM 8 GB, 256 GB"
"gid://shopify/Product/15427296362828","telefono-movil-aiwa-fp-24-negro","ACTIVE","FP24BK","Teléfono Móvil - Aiwa FP-24, Negro"
"gid://shopify/Product/15427296493900","telefono-movil-aiwa-fp-24-azul","ACTIVE","FP24BL","Teléfono Móvil - Aiwa FP-24, Azul"
"gid://shopify/Product/15427296723276","telefono-movil-aiwa-fp-24-rojo","ACTIVE","FP24RD","Teléfono Móvil - Aiwa FP-24, Rojo"
"gid://shopify/Product/15427296985420","telefono-movil-sunstech-celt18bl-azul-personas-mayores","ACTIVE","CELT18BL","Telefono Móvil - SUNSTECH CELT18BL, Azul, Personas Mayores"
"gid://shopify/Product/15427297149260","telefono-movil-sunstech-celt23-negro","ACTIVE","CELT23BK","Teléfono Móvil - Sunstech CELT23, Negro"
"gid://shopify/Product/15427297247564","telefono-movil-sunstech-celt23bl-personas-mayores-azul","ACTIVE","CELT23BL","Teléfono Móvil - SUNSTECH CELT23BL, Personas Mayores, Azul"
"gid://shopify/Product/15427297345868","smartphone-xiaomi-redmi-note14-4g-ram-6-gb-almacenamiento-128-gb-negro-medianoche","ACTIVE","MZB0J01EU","Smartphone - XIAOMI REDMI Note14, 4G, RAM 6 GB, Almacenamiento 128 GB, Negro Medianoche"
